logtitude       latitude        hight
126.83079815    37.6948566      84.28
126.83089617    37.69479816     84.86
126.83099721    37.69473512     85.94
126.83108705    37.69467794     86.14
126.83117946    37.69461994     85.91
126.83126696    37.69455809     86.01
126.83135874    37.6944973      86.61
126.83145282    37.6944324      86.58
126.83154777    37.69436719     86.28
126.83165234    37.6943134      86.38
126.83177177    37.69432676     86.31
126.83188982    37.69434788     85.27
126.83198952    37.6943919      85.13
126.83203658    37.69447417     83.12
126.83201715    37.69456668     82.85
126.83193751    37.69463634     83.23
126.83184502    37.69469278     84.5
126.83174317    37.69474631     84.18
126.83163215    37.69478243     83.86
126.83152307    37.69480849     84.6
126.8314217     37.6948574      84.37
126.83131759    37.6948994      84.17
126.8312138     37.69494033     84.19
126.83110941    37.69499093     84.56
126.83102199    37.69505046     83.17
126.83092701    37.69510718     83.61
126.83081073    37.69510067     84.61
126.83073371    37.69503251     84.98
126.83069863    37.69493795     85.35          
126.83077384    37.69486947     84.87         
